"wt.1.NC13.opaKD1.23003FL.09.01.25"	"ac.1.NC13.opaKD1.23003FL.09.01.26"	"dsred.2.NC13.opaKD1.23003FL.09.01.27"	"opa.2.NC13.opaKD1.23003FL.09.01.28"	"opa.3.NC13.opaKD1.23003FL.09.01.29"	"opa.4.NC13.opaKD1.23003FL.09.01.30"	"wt.2.NC13.opaKD3.23003FL.09.02.05"	"ac.2.NC13.opaKD3.23003FL.09.02.06"	"dsred.3.NC13.opaKD3.23003FL.09.02.07"	"dsred.4.NC13.opaKD3.23003FL.09.02.08"	"opa.5.NC13.opaKD3.23003FL.09.02.09"	"wt.3.NC13.opaKD4.23003FL.09.02.13"	"ac.3.NC13.opaKD4.23003FL.09.02.14"	"ac.4.NC13.opaKD4.23003FL.09.02.15"	"opa.6.NC13.opaKD4.23003FL.09.02.16"	"opa.7.NC13.opaKD4.23003FL.09.02.17"	"opa.8.NC13.opaKD4.23003FL.09.02.18"	"opa.9.NC13.opaKD4.23003FL.09.02.19"
"evm.TU.scaffold_1.1071"	947	952	605	1014	819	971	773	919	901	843	1101	680	815	621	1007	836	699	645
"evm.TU.scaffold_1.1072"	110	144	65	96	114	93	173	79	120	116	119	148	122	110	104	279	75	119
"evm.TU.scaffold_1.1073"	155	84	80	220	88	55	159	118	168	130	173	153	124	235	120	159	44	196
"evm.TU.scaffold_1.1075"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1076"	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1077"	40	34	52	43	53	19	37	20	21	21	15	37	60	72	15	24	14	61
"evm.TU.scaffold_1.1078"	1538	1848	953	2008	1794	1553	4154	2313	4952	3684	4266	4321	1594	2739	3250	4170	3818	3522
"evm.TU.scaffold_1.1079"	4530	5608	4223	5492	4311	4868	3212	5396	5633	3801	5991	3688	6150	6197	5277	3058	3225	2986
"evm.TU.scaffold_1.1080"	142	89	98	114	130	98	110	95	119	123	122	105	301	165	129	188	113	177
"evm.TU.scaffold_1.1081"	2121	1850	1099	2395	1417	1713	4095	3464	3499	3141	3941	3588	5862	5761	4511	6573	4477	7926
"evm.TU.scaffold_1.1082"	1604	1349	859	1645	1140	1549	4686	2537	3763	2997	2368	3883	1654	2722	1601	1197	1107	681
"evm.TU.scaffold_1.1083"	1236	1848	1065	1923	1729	1355	2606	1368	1758	1707	1694	2383	1182	1116	1547	1555	1782	1098
"evm.TU.scaffold_1.1084"	0	0	0	0	0	0	2	0	0	5	1	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1085"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1086"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1087"	1018	1633	847	1755	1282	1229	372	806	1240	878	1906	986	745	883	1353	1239	2081	1535
"evm.TU.scaffold_1.1088"	1017	1778	1003	1959	1312	1280	522	926	1260	1016	2007	1129	1146	986	1486	1437	2032	1517
"evm.TU.scaffold_1.1089"	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
"evm.TU.scaffold_1.1090"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1091"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1092"	4	0	0	2	0	0	24	1	0	2	4	0	4	0	0	0	0	0
"evm.TU.scaffold_1.1093"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1094"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1095"	3908	5398	2441	6921	4761	4641	4119	3890	7409	6154	8038	6054	3163	4148	7702	8561	8942	10024
"evm.TU.scaffold_1.1096"	147	229	182	301	213	144	168	213	144	162	214	168	496	230	196	135	364	159
"evm.TU.scaffold_1.1097"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1098"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1099"	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3
"evm.TU.scaffold_1.11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1100"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1101"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1102"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1104"	20	18	19	18	20	4	0	2	4	2	1	0	7	8	5	2	6	11
"evm.TU.scaffold_1.1105"	4	0	15	5	1	13	6	16	2	14	13	11	3	9	26	2	5	45
"evm.TU.scaffold_1.1106"	6745	11928	5763	12568	7007	9558	3872	6822	7192	4790	9376	6200	8201	9051	8169	5138	7409	5794
"evm.TU.scaffold_1.1107"	16	89	39	66	35	59	20	37	55	25	57	21	26	22	71	49	104	56
"evm.TU.scaffold_1.1108"	28	54	9	60	17	23	7	3	7	0	23	7	31	20	35	31	27	24
"evm.TU.scaffold_1.1109"	0	3	1	0	0	2	0	0	0	0	0	0	2	4	0	0	0	0
