"wt.1.NC12.opaKD2.23003FL.06.01.18"	"ac.1.NC12.opaKD2.23003FL.06.01.19"	"dsred.1.NC12.opaKD2.23003FL.06.01.20"	"opa.1.NC12.opaKD2.23003FL.06.01.21"	"wt.2.NC12.opaKD5.23003FL.06.01.35"	"ac.2.NC12.opaKD5.23003FL.06.01.36"	"dsred.2.NC12.opaKD5.23003FL.06.01.37"	"dsred.3.NC12.opaKD5.23003FL.06.01.38"	"opa.3.NC12.opaKD5.23003FL.06.01.40"	"opa.5.NC12.opaKD5.23003FL.06.01.42"	"ac.3.NC12.opaKD6.23003FL.06.01.44"	"ac.4.NC12.opaKD6.23003FL.06.01.45"	"opa.6.NC12.opaKD6.23003FL.06.01.46"	"opa.7.NC12.opaKD6.23003FL.06.01.47"	"opa.8.NC12.opaKD6.23003FL.06.01.48"
"scaffold_1:3516750-3516836"	26	30	6	17	12	9	21	16	29	23	30	32	33	40	15
"scaffold_1:3517183-3517260"	39	7	4	28	27	11	15	22	20	10	13	12	18	18	28
"scaffold_1:3525516-3525791"	154	80	27	92	44	35	99	114	73	55	89	117	171	170	142
"scaffold_1:3526319-3526462"	29	11	9	22	14	12	17	13	18	6	9	11	15	28	27
"scaffold_1:3527735-3527810"	17	17	3	12	6	1	24	23	21	16	12	17	37	36	18
"scaffold_1:3535855-3535984"	44	6	6	13	15	2	25	35	12	5	11	7	18	18	24
"scaffold_1:3597080-3597164"	6	16	3	5	7	7	24	16	22	8	8	16	15	13	15
"scaffold_1:3610524-3610601"	9	3	9	13	5	2	29	16	14	10	11	1	12	15	19
"scaffold_1:3628181-3628268"	9	5	1	9	7	11	18	16	21	4	13	4	13	10	28
"scaffold_1:3639973-3640379"	14	14	8	23	10	2	31	18	17	8	8	3	18	28	37
"scaffold_1:3640811-3640947"	14	7	8	10	11	3	23	21	14	1	11	4	23	13	24
"scaffold_1:3681057-3681255"	48	34	7	23	26	20	31	42	44	25	20	21	39	46	50
"scaffold_1:3684124-3684265"	51	49	13	49	20	28	77	74	83	26	54	42	72	80	90
"scaffold_1:3697265-3697409"	23	22	4	18	14	6	37	42	24	10	20	9	45	21	22
"scaffold_1:3704457-3704557"	16	15	6	8	7	6	27	21	14	1	10	8	14	20	12
"scaffold_1:3711612-3711753"	17	17	10	35	8	11	36	88	30	16	12	31	23	36	29
"scaffold_1:3711871-3712201"	165	103	18	134	121	75	202	161	176	131	102	94	209	208	200
"scaffold_1:3723193-3723511"	95	36	19	79	40	66	72	45	96	96	90	67	117	123	62
"scaffold_1:3725159-3725237"	28	16	2	20	14	5	26	23	35	8	15	7	27	25	11
"scaffold_1:3726617-3726773"	53	29	14	65	34	20	47	59	75	33	34	21	72	79	56
"scaffold_1:3727494-3727734"	87	34	12	66	59	33	67	76	63	32	40	33	78	108	61
"scaffold_1:3727899-3728002"	51	19	7	34	24	37	61	56	79	50	25	34	71	60	47
